,autor,edicao,link,paginas,tipo_trabalho,titulo
0,"
			Neide Lopes Patarra
		","
									v. 1 n. 1/2 (1984)
							",https://rebep.org.br/revista/issue/view/1,,"
					Editorial
				","
			Apresentação
					"
1,"
			Donald R. Saywer
		","
									v. 1 n. 1/2 (1984)
							",https://rebep.org.br/revista/issue/view/1,"
				3-34
			","
					Artigos originais
				","
			Fluxo e Refluxo da Fronteira agrícola no Brasil: ensaio de interpretação estrutural e espacial
					"
2,"
			Elza Berquó, Maria Andréa Loyola
		",,,"
				35-98
			",,"
			União dos sexos e estratégias reprodutivas no Brasil
					"
3,"
			George Martine, Liscio Camargo
		",,,"
				99-144
			",,"
			Crescimento e distribuição da população brasileira: tendências recentes
					"
4,"
			Luis Patricio Ortiz, Lucia Mayumi Yazaki
		",,,"
				145-170
			",,"
			Aumento do diferencial por sexo da mortalidade no estado de São Paulo
					"
5,"
			Ralph Hakkert
		",,,"
				171-192
			",,"
			Avanços metodológicos recentes na medição dos diferenciais da mortalidade
					"
6,"
			Candido Procopio Ferreira de Camargo
		","
									v. 1 n. 1/2 (1984)
							",https://rebep.org.br/revista/issue/view/1,"
				195-196
			","
					Resenha
				","
			Médicos e curandeiros: conflito social e saúde
					"
7,"
			IBGE DESPO
		","
									v. 1 n. 1/2 (1984)
							",https://rebep.org.br/revista/issue/view/1,"
				197-203
			","
					Resumo de Pesquisas Concluídas
				","
			Informe sobre o perfil estatísitco de crianças e mães no Brasil: situação de saúde em 1981
					"
8,"
			Daniel Hogan
		","
									v. 2 n. 1 (1985)
							",https://rebep.org.br/revista/issue/view/2,"
				1-7
			","
					Artigos originais
				","
			Demografia e Conjuntura: Reflexões Metodológicas
					"
9,"
			Jane Souto de Oliveira
		",,,"
				9-30
			",,"
			Repensando a questão das favelas
					"
10,"
			José Alberto Magno de Carvalho
		",,,"
				31-73
			",,"
			Estimativas indiretas e dados sobre migrações: uma avaliação conceitual e metodológica das informações censitárias recentes
					"
11,"
			Laura L. Rodriguez Wong
		",,,"
				75-103
			",,"
			Tendência recente da fecundidade no Estado de São Paulo
					"
12,"
			Maria Coleta F. A. de Oliveira
		",,,"
				105-143
			",,"
			O casamento e as estratégias de sobrevivência da família operária na agricultura paulista
					"
13,"
			Rubens Murillo Marques
		",,,"
				145-162
			",,"
			Ajuste, por mínimos quadrados, de uma Distribuição Beta às taxas de fecundidade por idade
					"
14,"
			Paulo Paiva, José Alberto Magno de Carvalho
		","
									v. 2 n. 1 (1985)
							",https://rebep.org.br/revista/issue/view/2,"
				163-179
			","
					Resenha
				","
			World development report, 1984
					"
15,"
			Ivany Câmara Neiva
		","
									v. 2 n. 1 (1985)
							",https://rebep.org.br/revista/issue/view/2,"
				181-186
			","
					Resumo de Pesquisas Concluídas
				","
			O outro lado da Colônia: contradições e formas de resistência popular na Colônia Agrícola de Goiás
					"
16,"
			Fundação Seade
		",,,"
				187-195
			",,"
			Pesquisa de emprego e desemprego na Grande São Paulo
					"
17,"
			Ana Maria Canesqui
		","
									v. 2 n. 2 (1985)
							",https://rebep.org.br/revista/issue/view/3,"
				1-20
			","
					Artigos originais
				","
			Planejamento familiar nos planos governamentais
					"
18,"
			Elza Berquó, Alicia M. Bercovich
		",,,"
				21-38
			",,"
			Redescobrindo o Brasil: viagem à demografia de Giorgio Mortara
					"
19,"
			Geraldo Muller
		",,,"
				39-58
			",,"
			SP 80: o trabalho na máquina agrária paulista nos 70
					"
20,"
			Letícia B. Costa
		",,,"
				59-70
			",,"
			A questão da ocupação no registro civil
					"
21,"
			Sonia Maria Giacomini
		",,,"
				71-98
			",,"
			A conversão da mulher em mãe: uma leitura do ""a mãi de família""
					"
22,"
			Zulmara Clara Sauner Posse
		",,,"
				99-128
			",,"
			Estudos de população pré-histórica
					"
23,"
			Altiva Pilatti Balhana
		","
									v. 2 n. 2 (1985)
							",https://rebep.org.br/revista/issue/view/3,"
				131-136
			","
					Resenha
				","
			Pour la démogrphie historique e histoire de la démographie
					"
24,"
			Violeta Refkalefsky Loureiro
		","
									v. 2 n. 2 (1985)
							",https://rebep.org.br/revista/issue/view/3,"
				139-142
			","
					Resumo de Pesquisas Concluídas
				","
			Capitalismo na Amazônia: utopia (e miséria) da ascensão social
					"
25,"
			George Martine, Vilmar Evangelista Faria
		","
									v. 3 n. 1 (1986)
							",https://rebep.org.br/revista/issue/view/4,"
				1-24
			","
					Artigos originais
				","
			Contexto social da política e da pesquisa em população no Brasil
					"
26,"
			Guaraci Adeodato Alves de Souza
		",,,"
				25-39
			",,"
			Proletário e migrante: livre para a subordinação
					"
27,"
			Maria Coleta F. A. de Oliveira, Felícia R Madeira
		",,,"
				41-62
			",,"
			População e força de trabalho: o caso da cafeicultura no oeste paulista
					"
28,"
			Paulo de Tarso A. Paiva
		",,,"
				63-86
			",,"
			Cinquenta anos de crescimento populacional e absorção de mão-de-obra no Brasil: de 1950 a 2000
					"
29,"
			Ivete Ribeiro
		","
									v. 3 n. 1 (1986)
							",https://rebep.org.br/revista/issue/view/4,"
				89-100
			","
					Resumo de Pesquisas Concluídas
				","
			Sociedade contemporânea, família no Brasil e valores: alterações e permanências
					"
30,"
			R. Parry Scott
		",,,"
				101-105
			",,"
			Migrações inter-regionais e estratégia doméstica
					"
31,"
			Alain Bideau
		","
									v. 3 n. 2 (1986)
							",https://rebep.org.br/revista/issue/view/5,"
				1-21
			","
					Artigos originais
				","
			Os órfãos e a mortalidade dos adultos: o exemplo francês de 1740 a 1829
					"
32,"
			Ana Amélia Camarano
		",,,"
				23-46
			",,"
			Migração e estrutura produtiva: o caso das regiões metropolitanas nordestinas
					"
33,"
			Ralph Hakkert
		",,,"
				47-65
			",,"
			Mecanismos subjacentes à relação entre a mortalidade infanto-juvenil e a educação dos pais
					"
34,"
			Rogelio E. Fernandez, José Alberto Magno de Carvalho
		",,,"
				67-86
			",,"
			A evolução da fecundidade no Brasil, período 1957-1979. Aplicação da técnica dos filhos próprios para se estimar a fecundidade ano a ano
					"
35,"
			Susana Pasternak Taschner, Lucia Maria Machado Bogus
		",,,"
				87-129
			",,"
			Mobilidade espacial da população brasileira: aspectos e tendências
					"
36,"
			Paulo Paiva
		","
									v. 4 n. 1 (1987)
							",https://rebep.org.br/revista/issue/view/6,"
				3-6
			","
					Discurso
				","
			Discurso de abertura do V Encontro Nacional
					"
37,"
			Neide Patarra
		",,,"
				7-8
			",,"
			Discurso de abertura do V Encontro Nacional
					"
38,"
			Elza Berquó
		",,,"
				9-10
			",,"
			Discurso de abertura do V Encontro Nacional
					"
39,"
			Axel Mundigo
		",,,"
				11-12
			",,"
			Discurso de abertura do V Encontro Nacional
					"
40,"
			José Alberto Magno de Carvalho
		",,,"
				13-14
			",,"
			Discurso de abertura do V Encontro Nacional
					"
41,"
			Eramis Bueno
		","
									v. 4 n. 1 (1987)
							",https://rebep.org.br/revista/issue/view/6,"
				17-20
			","
					Mesa
				","
			Política de população em Cuba
					"
42,"
			Raul Benitez Zenteno
		",,,"
				21-31
			",,"
			E agora o que fazemos
					"
43,"
			ABEP _abep
		","
									v. 4 n. 1 (1987)
							",https://rebep.org.br/revista/issue/view/6,"
				33-36
			","
					Debate
				","
			Debates
					"
44,"
			Ansley J. Coale
		","
									v. 4 n. 1 (1987)
							",https://rebep.org.br/revista/issue/view/6,"
				39-60
			","
					Painel
				","
			As implicações sociais da fecundidade abaixo do nível de substituição
					"
45,"
			Mercedes Concepción
		",,,"
				61-76
			",,"
			Políticas de população em alguns países asiáticos
					"
46,"
			Axel Mundigo
		",,,"
				77-86
			",,"
			Os casos de China e Brasil
					"
47,"
			Carmen A. Miró
		",,,"
				87-94
			",,"
			Políticas de população na América Latina em meados de 1985: um panorama confuso
					"
48,"
			Elza Berquó
		",,,"
				95-103
			",,"
			Sobre a política de planejamento familiar no Brasil
					"
49,"
			Carlos Eugenio de C. Ferreira, Luis Patricio Ortiz Flores
		","
									v. 4 n. 1 (1987)
							",https://rebep.org.br/revista/issue/view/6,"
				107-135
			","
					Prêmio
				","
			As dimensões da mortalidade infantil em São Paulo
					"
50,"
			Cheywa Rojza Spindel
		","
									v. 4 n. 2 (1987)
							",https://rebep.org.br/revista/issue/view/7,"
				1-38
			","
					Artigos originais
				","
			Formação de um novo proletariado: as operárias do distrito industrial de Manaus
					"
51,"
			George Martine, Alfonso R. Arias
		",,,"
				39-84
			",,"
			A evolução do emprego no campo
					"
52,"
			José Marcos Pinto da Cunha
		",,,"
				87-111
			",,"
			A migração nas regiões administrativas da grande São Paulo segundo o censo de 1980
					"
53,"
			Letícia B. Costa
		","
									v. 4 n. 2 (1987)
							",https://rebep.org.br/revista/issue/view/7,"
				115-117
			","
					Resenha
				","
			Nuevas fronteras de la demografia
					"
