"link" "edicao" "autor" "paginas" "tipo_trabalho" "titulo"
"https://rebep.org.br/revista/issue/view/1" "v. 1 n. 1/2 (1984)" "Neide Lopes Patarra" "1-2" "Editorial" "Apresentação"
"https://rebep.org.br/revista/issue/view/1" "v. 1 n. 1/2 (1984)" "Donald R. Saywer" "3-34" "Artigos originais" "Fluxo e Refluxo da Fronteira agrícola no Brasil: ensaio de interpretação estrutural e espacial"
"https://rebep.org.br/revista/issue/view/1" "v. 1 n. 1/2 (1984)" "Elza Berquó, Maria Andréa Loyola" "35-98" "Artigos originais" "União dos sexos e estratégias reprodutivas no Brasil"
"https://rebep.org.br/revista/issue/view/1" "v. 1 n. 1/2 (1984)" "George Martine, Liscio Camargo" "99-144" "Artigos originais" "Crescimento e distribuição da população brasileira: tendências recentes"
"https://rebep.org.br/revista/issue/view/1" "v. 1 n. 1/2 (1984)" "Luis Patricio Ortiz, Lucia Mayumi Yazaki" "145-170" "Artigos originais" "Aumento do diferencial por sexo da mortalidade no estado de São Paulo"
"https://rebep.org.br/revista/issue/view/1" "v. 1 n. 1/2 (1984)" "Ralph Hakkert" "171-192" "Artigos originais" "Avanços metodológicos recentes na medição dos diferenciais da mortalidade"
"https://rebep.org.br/revista/issue/view/1" "v. 1 n. 1/2 (1984)" "Candido Procopio Ferreira de Camargo" "195-196" "Resenha" "Médicos e curandeiros: conflito social e saúde"
"https://rebep.org.br/revista/issue/view/1" "v. 1 n. 1/2 (1984)" "IBGE DESPO" "197-203" "Resumo de Pesquisas Concluídas" "Informe sobre o perfil estatísitco de crianças e mães no Brasil: situação de saúde em 1981"
"https://rebep.org.br/revista/issue/view/2" "v. 2 n. 1 (1985)" "Daniel Hogan" "1-7" "Artigos originais" "Demografia e Conjuntura: Reflexões Metodológicas"
"https://rebep.org.br/revista/issue/view/2" "v. 2 n. 1 (1985)" "Jane Souto de Oliveira" "9-30" "Artigos originais" "Repensando a questão das favelas"
"https://rebep.org.br/revista/issue/view/2" "v. 2 n. 1 (1985)" "José Alberto Magno de Carvalho" "31-73" "Artigos originais" "Estimativas indiretas e dados sobre migrações: uma avaliação conceitual e metodológica das informações censitárias recentes"
"https://rebep.org.br/revista/issue/view/2" "v. 2 n. 1 (1985)" "Laura L. Rodriguez Wong" "75-103" "Artigos originais" "Tendência recente da fecundidade no Estado de São Paulo"
"https://rebep.org.br/revista/issue/view/2" "v. 2 n. 1 (1985)" "Maria Coleta F. A. de Oliveira" "105-143" "Artigos originais" "O casamento e as estratégias de sobrevivência da família operária na agricultura paulista"
"https://rebep.org.br/revista/issue/view/2" "v. 2 n. 1 (1985)" "Rubens Murillo Marques" "145-162" "Artigos originais" "Ajuste, por mínimos quadrados, de uma Distribuição Beta às taxas de fecundidade por idade"
