link|autor
https://rebep.org.br/revista/article/view/2|Neide Lopes Patarra
https://rebep.org.br/revista/article/view/3|Donald R. Saywer
https://rebep.org.br/revista/article/view/4|Elza Berquó
https://rebep.org.br/revista/article/view/4|Maria Andréa Loyola
https://rebep.org.br/revista/article/view/5|George Martine
https://rebep.org.br/revista/article/view/5|Liscio Camargo
https://rebep.org.br/revista/article/view/6|Luis Patricio Ortiz
https://rebep.org.br/revista/article/view/6|Lucia Mayumi Yazaki
https://rebep.org.br/revista/article/view/7|Ralph Hakkert
https://rebep.org.br/revista/article/view/8|Candido Procopio Ferreira de Camargo
https://rebep.org.br/revista/article/view/9|IBGE DESPO
https://rebep.org.br/revista/article/view/10|Suzana Cavenaghi
https://rebep.org.br/revista/article/view/12|Tiago Augusto da Cunha
https://rebep.org.br/revista/article/view/12|José Marcos Pinto da Cunha
https://rebep.org.br/revista/article/view/12|Alberto Augusto Eichman Jakob
https://rebep.org.br/revista/article/view/13|Eduardo Marandola Jr.
https://rebep.org.br/revista/article/view/13|Cesar Marques
https://rebep.org.br/revista/article/view/13|Luiz Tiago de Paula
https://rebep.org.br/revista/article/view/13|Letícia Braga Cassaneli
https://rebep.org.br/revista/article/view/14|Everton Emanuel Campos de Lima
https://rebep.org.br/revista/article/view/14|Fernando Gomes Braga
https://rebep.org.br/revista/article/view/15|Fausto Brito
https://rebep.org.br/revista/article/view/16|Ricardo Alexandrino Garcia
https://rebep.org.br/revista/article/view/17|José Manuel Morán Faúndes
https://rebep.org.br/revista/article/view/20|Adriana de Miranda-Ribeiro
https://rebep.org.br/revista/article/view/20|Eduardo Luiz Gonçalves Rios-Neto
https://rebep.org.br/revista/article/view/20|José Alberto Magno de Carvalho
https://rebep.org.br/revista/article/view/21|Maria Carolina Tomás
https://rebep.org.br/revista/article/view/22|Gustavo Henrique Naves Givisiez
https://rebep.org.br/revista/article/view/22|Elzira Lúcia de Oliveira
https://rebep.org.br/revista/article/view/23|João Batista Pamplona
https://rebep.org.br/revista/article/view/24|Aline Nogueira Menezes Mourão
https://rebep.org.br/revista/article/view/24|Mariana Eugenio Almeida
https://rebep.org.br/revista/article/view/24|Ernesto Friedrich de Lima Amaral
https://rebep.org.br/revista/article/view/25|James R. Hull
https://rebep.org.br/revista/article/view/25|Gilvan Guedes
https://rebep.org.br/revista/article/view/26|Pedro Herculano Guimarães Ferreira de Souza
https://rebep.org.br/revista/article/view/27|João Carlos Tedesco
https://rebep.org.br/revista/article/view/27|Denize Grzybovski
https://rebep.org.br/revista/article/view/28|Susana Beatriz Adamo
https://rebep.org.br/revista/article/view/29|Lúcia Avelar
https://rebep.org.br/revista/article/view/30|Iuri da Costa Leite
https://rebep.org.br/revista/article/view/30|Carla Jorge Machado
https://rebep.org.br/revista/article/view/31|Bernardo Lanza Queiroz
https://rebep.org.br/revista/article/view/31|Diana O. T. Sawyer
https://rebep.org.br/revista/article/view/32|Tiago Henrique P. M. França
https://rebep.org.br/revista/article/view/32|Eduardo Luis Gonçalves Rios-Neto
https://rebep.org.br/revista/article/view/33|Flavia Pereira Xavier
https://rebep.org.br/revista/article/view/33|Jorge Alexandre Barbosa Neves
https://rebep.org.br/revista/article/view/34|Letícia J. Marteleto
https://rebep.org.br/revista/article/view/34|Flavio Carvalhaes
https://rebep.org.br/revista/article/view/34|Celia Hubert
https://rebep.org.br/revista/article/view/35|Marco Túlio Aniceto França
https://rebep.org.br/revista/article/view/35|Flávio de Oliveira Gonçalves
https://rebep.org.br/revista/article/view/36|Jeronimo Oliveira Muniz
https://rebep.org.br/revista/article/view/37|Talianne Rodrigues Santos
https://rebep.org.br/revista/article/view/37|Windsor Ramos da Silva Júnior
https://rebep.org.br/revista/article/view/37|Inácia Sátiro Xavier de França
https://rebep.org.br/revista/article/view/37|Alessandro Leite Cavalcanti
https://rebep.org.br/revista/article/view/37|Maria das Graças Melo Fernandes
https://rebep.org.br/revista/article/view/38|Ana Cristina Ferreira
https://rebep.org.br/revista/article/view/38|Madalena Ramos
https://rebep.org.br/revista/article/view/39|Alessandra Sampaio Chacham
https://rebep.org.br/revista/article/view/39|Mônica Bara Maia
https://rebep.org.br/revista/article/view/39|Malco Braga Camargo
https://rebep.org.br/revista/article/view/40|Rebeca de Souza e Silva
https://rebep.org.br/revista/article/view/40|Solange Andreoni
https://rebep.org.br/revista/article/view/41|Harley Silva
https://rebep.org.br/revista/article/view/41|Alisson Flávio Barbieri
https://rebep.org.br/revista/article/view/41|Roberto L. Monte-Mór
https://rebep.org.br/revista/article/view/42|Ralfo Matos
https://rebep.org.br/revista/article/view/43|Jeniffer Dantas Ferreira
https://rebep.org.br/revista/article/view/43|Arnaldo Cézar Couto
https://rebep.org.br/revista/article/view/43|Luciana Correia Alves
https://rebep.org.br/revista/article/view/43|Maria do Socorro Pombo de Oliveira
https://rebep.org.br/revista/article/view/43|Sergio Koifman
https://rebep.org.br/revista/article/view/43|Membros do Brazilian Collaborative Study Group of Infant Acute Leukemia
https://rebep.org.br/revista/article/view/44|Carla Jorge Machado
https://rebep.org.br/revista/article/view/44|Mark Drew Crosland Guimarães
https://rebep.org.br/revista/article/view/45|Fernando Machado Vilhena Dias
https://rebep.org.br/revista/article/view/45|Ana Paula de Andrade Verona
https://rebep.org.br/revista/article/view/45|Bárbara Avelar Gontijo
https://rebep.org.br/revista/article/view/45|Bárbara Roberto Estanislau
https://rebep.org.br/revista/article/view/45|Cláudio Santiago Dias Júnior
https://rebep.org.br/revista/article/view/46|Adriane Mesquita de Medeiros
https://rebep.org.br/revista/article/view/47|Oswaldo M. S. Truzzi
https://rebep.org.br/revista/article/view/48|Ana Silvia Volpi Scott
https://rebep.org.br/revista/article/view/49|Eduardo Marandola Jr.
https://rebep.org.br/revista/article/view/49|Francine Modesto
https://rebep.org.br/revista/article/view/50|Florencia Molinatti
https://rebep.org.br/revista/article/view/50|Enrique Peláez
https://rebep.org.br/revista/article/view/51|Grisell Rodríguez Gómez
https://rebep.org.br/revista/article/view/52|Marília Patta Ramos
https://rebep.org.br/revista/article/view/52|Silvio Cezar Arend
https://rebep.org.br/revista/article/view/53|Josivan Ribeiro Justino
https://rebep.org.br/revista/article/view/53|Flávio Henrique Miranda de Araújo Freire
https://rebep.org.br/revista/article/view/53|Paulo Sérgio Lucio
https://rebep.org.br/revista/article/view/54|Weber Soares
https://rebep.org.br/revista/article/view/54|Dimitri Fazito
https://rebep.org.br/revista/article/view/54|Sergio Donizete Faria
https://rebep.org.br/revista/article/view/55|Gilberto Veras Caldeira
https://rebep.org.br/revista/article/view/55|Giovanna Medeiros Rataichesck Fiates
https://rebep.org.br/revista/article/view/55|Bethsáida de Abreu Soares Schmitz
https://rebep.org.br/revista/article/view/55|Gabriela Dalsasso Ricardo
https://rebep.org.br/revista/article/view/55|Francisco de Assis Guedes de Vasconcelos
https://rebep.org.br/revista/article/view/56|Letícia Casado Costa
https://rebep.org.br/revista/article/view/56|Luiz Claudio Santos Thuler
https://rebep.org.br/revista/article/view/57|Ada Ávila Assunção
https://rebep.org.br/revista/article/view/57|Ana Flávia Machado
https://rebep.org.br/revista/article/view/57|Tânia Maria de Araújo
https://rebep.org.br/revista/article/view/58|Oswaldo Mário Serra Truzzi
https://rebep.org.br/revista/article/view/59|Siân L. Curtis
https://rebep.org.br/revista/article/view/60|Antônio Leite Alves Radicchi
https://rebep.org.br/revista/article/view/61|Douglas Cole Libby
https://rebep.org.br/revista/article/view/61|Tarcísio R. Botelho
https://rebep.org.br/revista/article/view/61|Cristiana Viegas de Andrade
https://rebep.org.br/revista/article/view/62|Szilvia Simai
https://rebep.org.br/revista/article/view/62|Rosana Baeninger
https://rebep.org.br/revista/article/view/63|Flávia da Fonseca Feitosa
https://rebep.org.br/revista/article/view/64|Maria Carolina Tomás
https://rebep.org.br/revista/article/view/65|Ralfo Matos
https://rebep.org.br/revista/article/view/66|Gavin W. Jones
https://rebep.org.br/revista/article/view/67|Pamila Cristina Lima Siviero
https://rebep.org.br/revista/article/view/67|Cássio Maldonado Turra
https://rebep.org.br/revista/article/view/67|Roberto do Nascimento Rodrigues
https://rebep.org.br/revista/article/view/68|Everton Emanuel Campos de Lima
https://rebep.org.br/revista/article/view/68|Bernardo Lanza Queiroz
https://rebep.org.br/revista/article/view/69|María Marta Santillán Pizarro
https://rebep.org.br/revista/article/view/69|Eleonora Soledad Rojas Cabrera
https://rebep.org.br/revista/article/view/69|Dora Estela Celton
https://rebep.org.br/revista/article/view/69|Bruno Ribotta
https://rebep.org.br/revista/article/view/70|Gilvan Ramalho Guedes
https://rebep.org.br/revista/article/view/70|Pamila Cristina Lima Siviero
https://rebep.org.br/revista/article/view/70|André Junqueira Caetano
https://rebep.org.br/revista/article/view/70|Carla Jorge Machado
https://rebep.org.br/revista/article/view/70|Eduardo Brondízio
https://rebep.org.br/revista/article/view/71|Raquel Rangel de Meireles Guimarães
https://rebep.org.br/revista/article/view/71|Eduardo Luiz Gonçalves Rios-Neto
https://rebep.org.br/revista/article/view/72|Roberta de Moraes Rocha
https://rebep.org.br/revista/article/view/72|André Matos Magalhães
https://rebep.org.br/revista/article/view/73|Ricardo Ojima
https://rebep.org.br/revista/article/view/74|Diogo de Carvalho Cabral
https://rebep.org.br/revista/article/view/76|Pery Teixeira
https://rebep.org.br/revista/article/view/76|Marília Brasil
https://rebep.org.br/revista/article/view/76|Eliana Mesquita da Silva
https://rebep.org.br/revista/article/view/77|Gerson Luiz Marinho
https://rebep.org.br/revista/article/view/77|Ricardo Ventura Santos
https://rebep.org.br/revista/article/view/77|Nilza de Oliveira Martins Pereira
https://rebep.org.br/revista/article/view/78|Ernesto Friedrich de Lima Amaral
https://rebep.org.br/revista/article/view/79|Gilvan Ramalho Guedes
https://rebep.org.br/revista/article/view/79|Pamila Cristina Lima Siviero
https://rebep.org.br/revista/article/view/79|Carla Jorge Machado
https://rebep.org.br/revista/article/view/80|Thais Tartalha do Nascimento Lombardi
https://rebep.org.br/revista/article/view/81|Paula Miranda-Ribeiro
https://rebep.org.br/revista/article/view/82|Luiz Antonio Pinto de Oliveira
https://rebep.org.br/revista/article/view/83|Clarissa Guimarães Rodrigues
https://rebep.org.br/revista/article/view/83|Eduardo Luiz Gonçalves Rios-Neto
https://rebep.org.br/revista/article/view/83|Cristine Campos de Xavier Pinto
https://rebep.org.br/revista/article/view/84|Izabel Guimarães Marri
https://rebep.org.br/revista/article/view/84|Simone Wajnman
https://rebep.org.br/revista/article/view/84|Mônica Viegas Andrade
https://rebep.org.br/revista/article/view/85|Laetícia Rodrigues de Souza
https://rebep.org.br/revista/article/view/85|Eduardo Luiz Gonçalves Rios-Neto
https://rebep.org.br/revista/article/view/85|Bernardo Lanza Queiroz
https://rebep.org.br/revista/article/view/86|Carlos Lobo
https://rebep.org.br/revista/article/view/86|Ralfo Matos
https://rebep.org.br/revista/article/view/87|Marcos Leandro Mondardo
https://rebep.org.br/revista/article/view/88|Renilson Rodrigues da Silva
https://rebep.org.br/revista/article/view/88|Carlos José Caetano Bacha
https://rebep.org.br/revista/article/view/89|Rosa Moura
https://rebep.org.br/revista/article/view/89|Sachiko Araki Lira
https://rebep.org.br/revista/article/view/90|Marcos Vinicius Sanches Abreu
https://rebep.org.br/revista/article/view/90|Julio Cesar de Oliveira
https://rebep.org.br/revista/article/view/90|Viviane Delfino Albuquerque Andrade
https://rebep.org.br/revista/article/view/90|Anderson Donizete Meira
https://rebep.org.br/revista/article/view/91|Ana Paula de Andrade Verona
https://rebep.org.br/revista/article/view/92|Serafim Adriano Alberto
