link|edicao|tipo_trabalho|titulo
https://rebep.org.br/revista/article/view/2|v. 1 n. 1/2 (1984)|Editorial|Apresentação
https://rebep.org.br/revista/article/view/3|v. 1 n. 1/2 (1984)|Artigos originais|Fluxo e Refluxo da Fronteira agrícola no Brasil: ensaio de interpretação estrutural e espacial
https://rebep.org.br/revista/article/view/4|v. 1 n. 1/2 (1984)|Artigos originais|União dos sexos e estratégias reprodutivas no Brasil
https://rebep.org.br/revista/article/view/5|v. 1 n. 1/2 (1984)|Artigos originais|Crescimento e distribuição da população brasileira: tendências recentes
https://rebep.org.br/revista/article/view/6|v. 1 n. 1/2 (1984)|Artigos originais|Aumento do diferencial por sexo da mortalidade no estado de São Paulo
https://rebep.org.br/revista/article/view/7|v. 1 n. 1/2 (1984)|Artigos originais|Avanços metodológicos recentes na medição dos diferenciais da mortalidade
https://rebep.org.br/revista/article/view/8|v. 1 n. 1/2 (1984)|Resenha|Médicos e curandeiros: conflito social e saúde
https://rebep.org.br/revista/article/view/9|v. 1 n. 1/2 (1984)|Resumo de Pesquisas Concluídas|Informe sobre o perfil estatísitco de crianças e mães no Brasil: situação de saúde em 1981
https://rebep.org.br/revista/article/view/10|v. 30 n. 1 (2013)|Editorial|Nota da Editora
https://rebep.org.br/revista/article/view/12|v. 30 n. 1 (2013)|Artigos originais|Dinâmica intraurbana e redes sociais na Baixada Santista
https://rebep.org.br/revista/article/view/13|v. 30 n. 1 (2013)|Artigos originais|Crescimento urbano e áreas de risco  no litoral norte de São Paulo
https://rebep.org.br/revista/article/view/14|v. 30 n. 1 (2013)|Artigos originais|Da rotatividade migratória à baixa migração: uma análise dos padrões da  mobilidade populacional no  Brasil de 1995-2000
https://rebep.org.br/revista/article/view/15|v. 30 n. 1 (2013)|Artigos originais|A politização das migrações internacionais: direitos humanos e soberania nacional
https://rebep.org.br/revista/article/view/16|v. 30 n. 1 (2013)|Artigos originais|Estimativas dos emigrantes internacionais do Brasil entre 1995 e 2000: uma aplicação do método das razões intercensitárias de sobrevivência
https://rebep.org.br/revista/article/view/17|v. 30 n. 1 (2013)|Artigos originais|Contraceptivo de emergência no Chile: estruturação da sua demanda em função das variáveis socioeconômicas
https://rebep.org.br/revista/article/view/20|v. 30 n. 1 (2013)|Artigos originais|Efeitos tempo, parturição e quantum no Brasil:indicadores de período e evidências empíricas
https://rebep.org.br/revista/article/view/21|v. 30 n. 1 (2013)|Artigos originais|Revendo estudos sobre famílias: um breve comentário sobre tópicos selecionados
https://rebep.org.br/revista/article/view/22|v. 30 n. 1 (2013)|Artigos originais|Privacidade intradomiciliar: um estudo sobre as necessidades de ampliações em residências
https://rebep.org.br/revista/article/view/23|v. 30 n. 1 (2013)|Artigos originais|Mercado de trabalho, informalidade e comércio ambulante em São Paulo
https://rebep.org.br/revista/article/view/24|v. 30 n. 1 (2013)|Artigos originais|Seguro-desemprego e formalidade no mercado de trabalho brasileiro
https://rebep.org.br/revista/article/view/25|v. 30 n. 1 (2013)|Artigos originais|Reconstruindo Babel: comparando o bem-estar multidimensional de diferentes contextos culturais em busca de soluções comuns para o desenvolvimento
