,autor,edicao,link,resumo,tipo_trabalho,titulo
0,"
								Neide Lopes Patarra
							","
				v. 1 n. 1/2 (1984)
			",https://rebep.org.br/revista/article/view/2,,"
									Editorial
						","
		Apresentação
	"
1,"
								Donald R. Saywer
							","
				v. 1 n. 1/2 (1984)
			",https://rebep.org.br/revista/article/view/3,"
					São examinados historicamente os processos de avanço e recuo espacial das atividades econômicas e da população, procurando-se ligações a nível estrutural ente os movimentos centrífugos da fronteira e os movimentos centrípetos do desenvolvimento capitalista. No período urbano-industrial, enquanto as atividades econômicas e a população concentravam-se em polos urbanos, parte da população excedente dirigiu-se a novas fronteiras no interior, em função da ampliação do âmbito da circulação de mercadorias. Surgiram na ""Grande Fronteira"" condições propícias para a produção simples de mercadorias bem como um espaço social alternativo para ""frentes camponesas"". A partir dos anos 60, essas frentes entrechocaram-se com ""frentes especulativas"" que eram capitalistas mas que possuíam produção escassa. A debilidade dessa produção parece decorrer das necessidades de concentração espacial da agricultura moderna integrada na indústria.
				","
									Artigos originais
						","
		Fluxo e Refluxo da Fronteira agrícola no Brasil: ensaio de interpretação estrutural e espacial
	"
2,"
								Elza Berquó
							","
				v. 1 n. 1/2 (1984)
			",https://rebep.org.br/revista/article/view/4,"
					O trabalho analisa a evolução dos diferentes tipos de uniões conjugais no Brasil. Utilizando os dados do Censo de 1960 e 1970, da PNAD de 1976 e 1978 e da Pesquisa Nacional de Reprodução Humana (PNRH) realizada pelo Centro Brasileiro de Análise e Planejamento (CEBRAP) entre 1975 e 1977. Dedica especial atenção às uniões consensuais, cujo número aumentou significativamente, em todo país, em detrimento das uniões apenas religiosas e mesmo das civis em algumas localidades. Analisa também, através dos dados da PNRH, inicialmente a opinião dos brasileiros sobre as vantagens e desvantagens dos diferentes tipos de união, para o homem e para a mulher; sobre a separação dos cônjuges, e sobre a idade considerada ideal, para o homem e para a mulher, para iniciar uma primeira união. Com base nessas análises, as autoras levantam questões e formulam hipóteses de trabalho a serem aprofundadas em estudos futuros.
				","
									Artigos originais
						","
		União dos sexos e estratégias reprodutivas no Brasil
	"
3,"
								Maria Andréa Loyola
							",,,,,
4,"
								George Martine
							","
				v. 1 n. 1/2 (1984)
			",https://rebep.org.br/revista/article/view/5,"
					A dinâmica demográfica do Brasil sofreu profundas modificações durante as últimas décadas. Observa-se em declínio importante no ritmo de crescimento da população entre as décadas anteriores e a de 70. Atribui-se esse declínio a uma queda acentuada da fecundidade, que se registrou em todas as regiões, atingindo áreas urbanas e rurais. A explicação dessa redução exige a análise de fatores estruturais e conjunturais relacionados ao contexto político, econômico e social do período. As principais tendências de redistribuição espacial nas últimas décadas são reagrupadas em termos de trocas inter-regionais e rural-urbanas. Observa-se uma convergência crescente dessas duas tendências via concentração progressiva da população em áreas já densamente povoadas de maior dinamismo econômico. As implicações dessas tendências para a a tuação do poder público são analisadas no último capítulo.
				","
									Artigos originais
						","
		Crescimento e distribuição da população brasileira: tendências recentes
	"
5,"
								Liscio Camargo
							",,,,,
6,"
								Luis Patricio Ortiz
							","
				v. 1 n. 1/2 (1984)
			",https://rebep.org.br/revista/article/view/6,"
					Utilizam-se séries históricas de registro civil, disponíveis para São Paulo, para identificar os grupos de idades onde o aumento da sobremortalidade masculina tem sido mais acentuado e, nessas idades, analisa-se a evolução apresentada nestes últimos 40 anos pelas principais causas de morte, responsáveis pelo aumento desse diferencial por sexo da mortalidade. Os dados observados mostram que, à medida que diminui a mortalidade geral, vai se acentuando a sobremortalidade masculina, especialmente entre 15 e 39 anos de idade. Isto é produzido principalmente pela redução das mortes femininas por ""Complicações da gravidez, Parto e Puerpério"" e pelo incremento acelerado das mortes masculinas devido a ""Acidentes"", especialmente os ""Acidentes de trânsito devido a veículos a motor"" e os ""Homicídios"".
				","
									Artigos originais
						","
		Aumento do diferencial por sexo da mortalidade no estado de São Paulo
	"
7,"
								Lucia Mayumi Yazaki
							",,,,,
8,"
								Ralph Hakkert
							","
				v. 1 n. 1/2 (1984)
			",https://rebep.org.br/revista/article/view/7,"Discutem-se algumas técnicas recentes que visam facilitar a análise da mortalidade diferencial segundo diversos critérios simultâneos, em situações onde as amostras pequenas impedem um cruzamento por todas as dimensões relevantes. Todas estas técnicas envolvem o uso de modelos de regressão. Embora alguns detalhes técnicos sejam inevitáveis, visa-se principalmente providenciar uma introdução ao assunto para os não-especialistas, com uma ampla bibliografia dos trabalhos teóricos e aplicados atualmente desenvolvidos na área. O raciocínio subjacente ao método dos riscos proporcionais de Cox, o mais comum nas aplicações atuais, é explicado, e suas vantagens e desvantagens são apontadas. Levantam-se alternativas mais apropriadas para a análise da mortalidade em populações humanas. Discutem-se ainda o problema da heterogeneidade não explicada e algumas extensões para a estimação indireta, inspiradas pelo método Cox.","
									Artigos originais
						","
		Avanços metodológicos recentes na medição dos diferenciais da mortalidade
	"
9,"
								Candido Procopio Ferreira de Camargo
							","
				v. 1 n. 1/2 (1984)
			",https://rebep.org.br/revista/article/view/8,,"
									Resenha
						","
		Médicos e curandeiros: conflito social e saúde
	"
